,Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
9702,https://kawalpemilu.org#53919,"KAMPUNG BARU, BULELENG, BULELENG, BALI",17,171,7,178
7197,https://kawalpemilu.org#53761,"PADANG KERTA, KARANGASEM, KARANGASEM, BALI",16,140,3,143
2584,https://kawalpemilu.org#53449,"ABIANBASE, MENGWI, BADUNG, BALI",4,244,9,253
5872,https://kawalpemilu.org#53653,"DEMULIH, SUSUT, BANGLI, BALI",1,194,16,210
8905,https://kawalpemilu.org#53860,"TINGGARSARI, BUSUNG BIU, BULELENG, BALI",2,203,10,213
1496,https://kawalpemilu.org#53364,"BELALANG, KEDIRI, TABANAN, BALI",5,239,31,270
9544,https://kawalpemilu.org#53910,"BANYUNING, BULELENG, BULELENG, BALI",20,188,4,192
4147,https://kawalpemilu.org#53526,"BELEGA, BLAHBATUH, GIANYAR, BALI",8,222,9,231
9001,https://kawalpemilu.org#53870,"TIRTASARI, BANJAR, BULELENG, BALI",2,203,18,121
2674,https://kawalpemilu.org#53453,"BUDUK, MENGWI, BADUNG, BALI",10,241,11,252
5272,https://kawalpemilu.org#53590,"KLUMPU, NUSA PENIDA, KLUNGKUNG, BALI",13,243,18,261
4223,https://kawalpemilu.org#53529,"BEDULU, BLAHBATUH, GIANYAR, BALI",16,188,19,207
2742,https://kawalpemilu.org#53456,"SEMBUNG, MENGWI, BADUNG, BALI",14,200,7,207
10890,https://kawalpemilu.org#53981,"PEMOGAN, DENPASAR SELATAN, KOTA DENPASAR, BALI",62,201,16,217
3817,https://kawalpemilu.org#53510,"BATUBULAN, SUKAWATI, GIANYAR, BALI",60,238,19,257
9208,https://kawalpemilu.org#53885,"KALIASEM, BANJAR, BULELENG, BALI",1,133,102,235
11016,https://kawalpemilu.org#53987,"DANGIN PURI, DENPASAR TIMUR, KOTA DENPASAR, BALI",10,193,34,227
5273,https://kawalpemilu.org#53590,"KLUMPU, NUSA PENIDA, KLUNGKUNG, BALI",14,253,4,257
8479,https://kawalpemilu.org#53821,"PENYABANGAN, GEROKGAK, BULELENG, BALI",14,68,144,212
2497,https://kawalpemilu.org#53443,"KEDONGANAN, KUTA, BADUNG, BALI",11,239,11,250
1561,https://kawalpemilu.org#53369,"NYAMBU, KEDIRI, TABANAN, BALI",2,274,0,274
17654,https://kawalpemilu.org#52734,"NAGARA, KIBIN, SERANG, BANTEN",11,86,126,212
11997,https://kawalpemilu.org#52462,"SEPATAN, SEPATAN, TANGERANG, BANTEN",31,55,116,171
25474,https://kawalpemilu.org#53074,"BANJAR NEGARA, CIWANDAN, KOTA CILEGON, BANTEN",9,42,157,199
18522,https://kawalpemilu.org#52806,"PANYABRANGAN, CIKEUSAL, SERANG, BANTEN",9,77,164,241
5367,https://kawalpemilu.org#52059,"JAYAMANIK, CIMARGA, LEBAK, BANTEN",7,21,142,163
26734,https://kawalpemilu.org#53117,"KALIGANDU, SERANG, KOTA SERANG, BANTEN",6,79,144,223
21708,https://kawalpemilu.org#52970,"CIPONDOH INDAH, CIPONDOH, KOTA TANGERANG, BANTEN",27,36,87,123
13999,https://kawalpemilu.org#52523,"KADU SIRUNG, PAGEDANGAN, TANGERANG, BANTEN",17,80,124,204
4845,https://kawalpemilu.org#52009,"CIGINGGANG, GUNUNGKENCANA, LEBAK, BANTEN",9,63,49,112
10944,https://kawalpemilu.org#52419,"GELAM JAYA, PASAR KEMIS, TANGERANG, BANTEN",80,237,22,259
23828,https://kawalpemilu.org#53022,"MEKARSARI, NEGLASARI, KOTA TANGERANG, BANTEN",31,212,13,225
26075,https://kawalpemilu.org#53100,"DRINGO, CITANGKIL, KOTA CILEGON, BANTEN",15,61,194,255
24389,https://kawalpemilu.org#53038,"KARANG TENGAH, KARANG TENGAH, KOTA TANGERANG, BANTEN",32,127,100,227
17467,https://kawalpemilu.org#52724,"JULANG, CIKANDE, SERANG, BANTEN",17,66,170,236
3591,https://kawalpemilu.org#84981,"SUKARATU, MAJASARI, PANDEGLANG, BANTEN",23,40,150,190
9754,https://kawalpemilu.org#52390,"BUARAN JATI, SUKADIRI, TANGERANG, BANTEN",3,56,198,254
13137,https://kawalpemilu.org#52492,"BOJONG, CIKUPA, TANGERANG, BANTEN",1,55,172,227
10724,https://kawalpemilu.org#52416,"PASAR KEMIS, PASAR KEMIS, TANGERANG, BANTEN",42,51,88,139
8693,https://kawalpemilu.org#52323,"SUKAMANAH, JAMBE, TANGERANG, BANTEN",6,94,130,224
8356,https://kawalpemilu.org#52309,"KADU AGUNG, TIGARAKSA, TANGERANG, BANTEN",15,66,140,206
21243,https://kawalpemilu.org#52959,"BATUSARI, BATUCEPER, KOTA TANGERANG, BANTEN",28,27,166,193
