,Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
123640,https://kawalpemilu.org#28823,"SUKAHURIP, PANGANDARAN, PANGANDARAN, JAWA BARAT",1,135,73,208
63598,https://kawalpemilu.org#29972,"RAJAGALUH LOR, RAJAGALUH, MAJALENGKA, JAWA BARAT",3,90,57,147
55100,https://kawalpemilu.org#29249,"SILEBU, PANCALANG, KUNINGAN, JAWA BARAT",2,43,115,158
76268,https://kawalpemilu.org#30942,"PATIMBAN, PUSAKANAGARA, SUBANG, JAWA BARAT",16,144,16,160
120212,https://kawalpemilu.org#32560,"CIMAHI, CIMAHI TENGAH, KOTA CIMAHI, JAWA BARAT",11,70,152,222
34322,https://kawalpemilu.org#27685,"PANYOCOKAN, CIWIDEY, BANDUNG, JAWA BARAT",45,125,105,230
117794,https://kawalpemilu.org#32504,"BAKTIJAYA, SUKMAJAYA, KOTA DEPOK, JAWA BARAT",54,64,81,145
109231,https://kawalpemilu.org#32388,"HARJAMUKTI, HARJAMUKTI, KOTA CIREBON, JAWA BARAT",52,92,92,184
81040,https://kawalpemilu.org#31285,"CILANGKAP, BABAKANCIKAO, PURWAKARTA, JAWA BARAT",8,76,160,236
99376,https://kawalpemilu.org#32126,"PASIR JAYA, BOGOR BARAT, KOTA BOGOR, JAWA BARAT",25,84,129,213
77295,https://kawalpemilu.org#31002,"TAMBAKJATI, PATOKBEUSI, SUBANG, JAWA BARAT",27,158,74,232
48268,https://kawalpemilu.org#28575,"CIAMIS, CIAMIS, CIAMIS, JAWA BARAT",7,61,100,161
68265,https://kawalpemilu.org#30392,"CIPAMEUNGPEUK, SUMEDANG SELATAN, SUMEDANG, JAWA BARAT",8,61,169,230
14769,https://kawalpemilu.org#26785,"KABANDUNGAN, KABANDUNGAN, SUKABUMI, JAWA BARAT",20,40,123,163
80791,https://kawalpemilu.org#31259,"SAWAHKULON, PASAWAHAN, PURWAKARTA, JAWA BARAT",6,106,139,245
68536,https://kawalpemilu.org#30408,"MULYASARI, SUMEDANG UTARA, SUMEDANG, JAWA BARAT",3,76,135,211
54453,https://kawalpemilu.org#29172,"GEREBA, KRAMATMULYA, KUNINGAN, JAWA BARAT",3,59,133,192
66728,https://kawalpemilu.org#30287,"LEGOK KIDUL, PASEH, SUMEDANG, JAWA BARAT",1,100,76,176
119763,https://kawalpemilu.org#32553,"CIBEBER, CIMAHI SELATAN, KOTA CIMAHI, JAWA BARAT",28,70,185,255
122947,https://kawalpemilu.org#32659,"BATULAWANG, PATARUMAN, KOTA BANJAR, JAWA BARAT",3,87,116,203
10604,https://kawalpemilu.org#26572,"CIBADAK, TANJUNGSARI, BOGOR, JAWA BARAT",11,90,116,206
57712,https://kawalpemilu.org#29508,"LUWUNG, MUNDU, CIREBON, JAWA BARAT",14,118,67,185
101306,https://kawalpemilu.org#32173,"NYOMPLONG, WARUDOYONG, KOTA SUKABUMI, JAWA BARAT",5,92,101,193
55949,https://kawalpemilu.org#29363,"PANAWUAN, CIGANDAMEKAR, KUNINGAN, JAWA BARAT",2,66,162,228
6098,https://kawalpemilu.org#26346,"CIMAYANG, PAMIJAHAN, BOGOR, JAWA BARAT",14,38,126,164
19498,https://kawalpemilu.org#27069,"SALAMNUNGGAL, CIBEBER, CIANJUR, JAWA BARAT",6,49,127,176
49230,https://kawalpemilu.org#28631,"SUMBERJAYA, CIHAURBEUTI, CIAMIS, JAWA BARAT",6,57,135,192
30873,https://kawalpemilu.org#27578,"BABAKAN, CIPARAY, BANDUNG, JAWA BARAT",16,41,82,123
19540,https://kawalpemilu.org#27072,"SUKASARI, CILAKU, CIANJUR, JAWA BARAT",7,40,125,165
91342,https://kawalpemilu.org#31837,"LENGGAHSARI, CABANGBUNGIN, BEKASI, JAWA BARAT",25,65,165,230
57555,https://kawalpemilu.org#29495,"GETRAKMOYAN, PANGENAN, CIREBON, JAWA BARAT",11,120,36,156
86991,https://kawalpemilu.org#31696,"BUNIBAKTI, BABELAN, BEKASI, JAWA BARAT",3,41,178,219
1031,https://kawalpemilu.org#26158,"BOJONG KULUR, GUNUNG PUTRI, BOGOR, JAWA BARAT",81,53,111,164
9793,https://kawalpemilu.org#26519,"SUKAMANTRI, TAMANSARI, BOGOR, JAWA BARAT",53,95,133,228
30219,https://kawalpemilu.org#27558,"LINGGAR, RANCAEKEK, BANDUNG, JAWA BARAT",24,39,103,142
85695,https://kawalpemilu.org#31628,"PANGULAH UTARA, KOTA BARU, KARAWANG, JAWA BARAT",17,105,118,223
93906,https://kawalpemilu.org#31938,"MANDALASARI, CIKALONGWETAN, BANDUNG BARAT, JAWA BARAT",17,38,180,218
54678,https://kawalpemilu.org#29197,"JAGARA, DARMA, KUNINGAN, JAWA BARAT",5,40,155,195
34520,https://kawalpemilu.org#27693,"ALAMENDAH, RANCABALI, BANDUNG, JAWA BARAT",34,163,66,229
108835,https://kawalpemilu.org#32377,"KEJAKSAN, KEJAKSAN, KOTA CIREBON, JAWA BARAT",4,97,89,186
77842,https://kawalpemilu.org#31041,"SAWANGAN, CIPEUNDEUY, SUBANG, JAWA BARAT",15,76,86,162
81106,https://kawalpemilu.org#31290,"MARACANG, BABAKANCIKAO, PURWAKARTA, JAWA BARAT",13,49,145,194
81708,https://kawalpemilu.org#31349,"TANJUNGPURA, KARAWANG BARAT, KARAWANG, JAWA BARAT",54,72,137,209
5304,https://kawalpemilu.org#26313,"BOJONGJENGKOL, CIAMPEA, BOGOR, JAWA BARAT",7,87,121,208
64022,https://kawalpemilu.org#30002,"CIBORELANG, JATIWANGI, MAJALENGKA, JAWA BARAT",13,100,114,214
37852,https://kawalpemilu.org#27849,"TALAGASARI, KADUNGORA, GARUT, JAWA BARAT",17,43,207,250
114006,https://kawalpemilu.org#32447,"JATIBENING BARU, PONDOK GEDE, KOTA BEKASI, JAWA BARAT",49,113,105,218
67959,https://kawalpemilu.org#30372,"JATIMUKTI, JATINANGOR, SUMEDANG, JAWA BARAT",4,73,146,219
47624,https://kawalpemilu.org#28529,"KARANGMULYA, JAMANIS, TASIKMALAYA, JAWA BARAT",6,58,131,189
65845,https://kawalpemilu.org#30188,"WERASARI, MALAUSMA, MAJALENGKA, JAWA BARAT",15,61,104,165
115653,https://kawalpemilu.org#32469,"JATIWARNA, PONDOK MELATI, KOTA BEKASI, JAWA BARAT",53,57,126,183
40931,https://kawalpemilu.org#28037,"PAMEUNGPEUK, PAMEUNGPEUK, GARUT, JAWA BARAT",3,30,165,195
118400,https://kawalpemilu.org#32519,"PONDOK JAYA, CIPAYUNG, KOTA DEPOK, JAWA BARAT",77,79,87,166
115933,https://kawalpemilu.org#32474,"DEPOK, PANCORAN MAS, KOTA DEPOK, JAWA BARAT",147,77,125,202
53455,https://kawalpemilu.org#29071,"PURWAWINANGUN, KUNINGAN, KUNINGAN, JAWA BARAT",23,55,201,256
48988,https://kawalpemilu.org#28611,"SADANANYA, SADANANYA, CIAMIS, JAWA BARAT",12,45,117,162
57448,https://kawalpemilu.org#29489,"KANCI, ASTANAJAPURA, CIREBON, JAWA BARAT",5,93,107,200
116764,https://kawalpemilu.org#32484,"MEKARSARI, CIMANGGIS, KOTA DEPOK, JAWA BARAT",71,79,136,215
63349,https://kawalpemilu.org#29947,"CIBODAS, MAJALENGKA, MAJALENGKA, JAWA BARAT",6,107,79,186
74174,https://kawalpemilu.org#30827,"TOTORAN, PASEKAN, INDRAMAYU, JAWA BARAT",2,141,71,212
116325,https://kawalpemilu.org#32479,"RANGKAPAN JAYA, PANCORAN MAS, KOTA DEPOK, JAWA BARAT",89,88,149,237
84853,https://kawalpemilu.org#31570,"LEMAHDUHUR, TEMPURAN, KARAWANG, JAWA BARAT",14,91,77,168
54463,https://kawalpemilu.org#29173,"CILAJA, KRAMATMULYA, KUNINGAN, JAWA BARAT",8,99,123,222
59730,https://kawalpemilu.org#29648,"JEMARAS KIDUL, KLANGENAN, CIREBON, JAWA BARAT",14,132,56,188
116837,https://kawalpemilu.org#32485,"PASIR GUNUNG SELATAN, CIMANGGIS, KOTA DEPOK, JAWA BARAT",5,79,43,122
114645,https://kawalpemilu.org#32454,"JATILUHUR, JATIASIH, KOTA BEKASI, JAWA BARAT",28,119,104,223
119387,https://kawalpemilu.org#32549,"MELONG, CIMAHI SELATAN, KOTA CIMAHI, JAWA BARAT",128,62,175,243
52584,https://kawalpemilu.org#28972,"CISUKADANA, KADUGEDE, KUNINGAN, JAWA BARAT",3,90,94,184
60381,https://kawalpemilu.org#29694,"JATIANOM, SUSUKAN, CIREBON, JAWA BARAT",7,120,44,164
75995,https://kawalpemilu.org#30933,"DUKUH, CIASEM, SUBANG, JAWA BARAT",19,163,96,259
26141,https://kawalpemilu.org#27435,"BUAHBATU, BOJONGSOANG, BANDUNG, JAWA BARAT",21,56,100,156
39759,https://kawalpemilu.org#27966,"CISURUPAN, CISURUPAN, GARUT, JAWA BARAT",8,41,141,182
763,https://kawalpemilu.org#26155,"PABUARAN, CIBINONG, BOGOR, JAWA BARAT",114,128,123,251
26131,https://kawalpemilu.org#27435,"BUAHBATU, BOJONGSOANG, BANDUNG, JAWA BARAT",11,47,132,179
4934,https://kawalpemilu.org#26296,"BOJONGGEDE, BOJONG GEDE, BOGOR, JAWA BARAT",66,71,173,244
92405,https://kawalpemilu.org#31885,"WIBAWAMULYA, CIBARUSAH, BEKASI, JAWA BARAT",16,50,203,253
102042,https://kawalpemilu.org#32200,"CIPAGANTI, COBLONG, KOTA BANDUNG, JAWA BARAT",1,97,114,211
113189,https://kawalpemilu.org#32436,"PEJUANG, MEDAN SATRIA, KOTA BEKASI, JAWA BARAT",63,36,82,118
68513,https://kawalpemilu.org#30406,"TALUN, SUMEDANG UTARA, SUMEDANG, JAWA BARAT",16,73,145,218
21120,https://kawalpemilu.org#27147,"SUKANAGALIH, PACET, CIANJUR, JAWA BARAT",9,47,153,200
26966,https://kawalpemilu.org#27450,"RAHAYU, MARGAASIH, BANDUNG, JAWA BARAT",10,137,86,223
18637,https://kawalpemilu.org#27031,"SAYANG, CIANJUR, CIANJUR, JAWA BARAT",33,52,120,172
80118,https://kawalpemilu.org#31190,"SUKAMAJU, SUKATANI, PURWAKARTA, JAWA BARAT",3,52,183,235
46565,https://kawalpemilu.org#28447,"NANGTANG, CIGALONTANG, TASIKMALAYA, JAWA BARAT",5,27,144,171
88747,https://kawalpemilu.org#31742,"WANASARI, CIBITUNG, BEKASI, JAWA BARAT",2,48,91,139
24298,https://kawalpemilu.org#27361,"CIMACAN, CIPANAS, CIANJUR, JAWA BARAT",37,38,142,180
94365,https://kawalpemilu.org#31960,"CIMAREME, NGAMPRAH, BANDUNG BARAT, JAWA BARAT",9,63,159,222
83939,https://kawalpemilu.org#31491,"CIKALONGSARI, JATISARI, KARAWANG, JAWA BARAT",9,92,124,216
43909,https://kawalpemilu.org#28242,"CILUMBA, CIKATOMAS, TASIKMALAYA, JAWA BARAT",9,18,129,147
78185,https://kawalpemilu.org#31064,"CIPANCAR, SERANGPANJANG, SUBANG, JAWA BARAT",12,87,73,162
77229,https://kawalpemilu.org#31000,"RANCAMULYA, PATOKBEUSI, SUBANG, JAWA BARAT",4,82,134,216
46712,https://kawalpemilu.org#28458,"CIGALONTANG, CIGALONTANG, TASIKMALAYA, JAWA BARAT",5,33,163,4
79977,https://kawalpemilu.org#31179,"SINDANGSARI, PLERED, PURWAKARTA, JAWA BARAT",10,42,172,214
41114,https://kawalpemilu.org#28048,"SUKAMUKTI, CISOMPET, GARUT, JAWA BARAT",11,93,144,237
9285,https://kawalpemilu.org#26501,"PAGELARAN, CIOMAS, BOGOR, JAWA BARAT",40,104,122,226
47112,https://kawalpemilu.org#28489,"GUNUNGSARI, SUKARATU, TASIKMALAYA, JAWA BARAT",1,83,194,277
29642,https://kawalpemilu.org#27540,"CITAMAN, NAGREG, BANDUNG, JAWA BARAT",23,55,101,156
68214,https://kawalpemilu.org#30390,"KOTAKULON, SUMEDANG SELATAN, SUMEDANG, JAWA BARAT",11,78,141,219
40357,https://kawalpemilu.org#27996,"MEKARJAYA, CIKAJANG, GARUT, JAWA BARAT",25,41,128,169
30479,https://kawalpemilu.org#27567,"CIPARAY, CIPARAY, BANDUNG, JAWA BARAT",14,70,111,181
123798,https://kawalpemilu.org#28833,"SUKARESIK, SIDAMULIH, PANGANDARAN, JAWA BARAT",12,109,88,197
107473,https://kawalpemilu.org#32335,"CIPAMOKOLAN, RANCASARI, KOTA BANDUNG, JAWA BARAT",43,74,161,235
77902,https://kawalpemilu.org#31043,"LENGKONG, CIPEUNDEUY, SUBANG, JAWA BARAT",25,40,92,132
82312,https://kawalpemilu.org#31380,"MULYASEJATI, CIAMPEL, KARAWANG, JAWA BARAT",20,97,101,198
27080,https://kawalpemilu.org#27453,"SANGKANHURIP, KATAPANG, BANDUNG, JAWA BARAT",13,77,163,240
86885,https://kawalpemilu.org#31692,"SAMUDRAJAYA, TARUMAJAYA, BEKASI, JAWA BARAT",24,73,146,219
86012,https://kawalpemilu.org#31638,"PALUMBONSARI, KARAWANG TIMUR, KARAWANG, JAWA BARAT",30,84,162,246
33878,https://kawalpemilu.org#27671,"CIBODAS, PASIRJAMBU, BANDUNG, JAWA BARAT",31,152,61,213
8534,https://kawalpemilu.org#26467,"SUKAMANAH, MEGAMENDUNG, BOGOR, JAWA BARAT",11,46,136,182
109879,https://kawalpemilu.org#32405,"BEKASI JAYA, BEKASI TIMUR, KOTA BEKASI, JAWA BARAT",165,63,155,218
111498,https://kawalpemilu.org#32418,"HARAPAN BARU, BEKASI UTARA, KOTA BEKASI, JAWA BARAT",54,106,141,247
62182,https://kawalpemilu.org#29833,"BAKUNG LOR, JAMBLANG, CIREBON, JAWA BARAT",1,180,41,221
54039,https://kawalpemilu.org#29121,"SUKAMUKTI, JALAKSANA, KUNINGAN, JAWA BARAT",10,110,104,214
93894,https://kawalpemilu.org#31938,"MANDALASARI, CIKALONGWETAN, BANDUNG BARAT, JAWA BARAT",5,58,165,223
38430,https://kawalpemilu.org#27882,"MALANGBONG, MALANGBONG, GARUT, JAWA BARAT",3,57,187,244
112008,https://kawalpemilu.org#32423,"PEKAYON JAYA, BEKASI SELATAN, KOTA BEKASI, JAWA BARAT",113,65,143,208
111092,https://kawalpemilu.org#32414,"JAKA SAMPURNA, BEKASI BARAT, KOTA BEKASI, JAWA BARAT",154,117,133,250
28643,https://kawalpemilu.org#27498,"WANASUKA, PANGALENGAN, BANDUNG, JAWA BARAT",11,42,170,212
16183,https://kawalpemilu.org#26874,"NAGRAK, CISAAT, SUKABUMI, JAWA BARAT",20,32,202,234
119543,https://kawalpemilu.org#32550,"CIBEUREUM, CIMAHI SELATAN, KOTA CIMAHI, JAWA BARAT",147,72,110,182
89474,https://kawalpemilu.org#31757,"TELAGA ASIH, CIKARANG BARAT, BEKASI, JAWA BARAT",15,90,151,241
87313,https://kawalpemilu.org#31703,"BABELANKOTA, BABELAN, BEKASI, JAWA BARAT",32,88,165,253
113021,https://kawalpemilu.org#32432,"BOJONG MENTENG, RAWA LUMBU, KOTA BEKASI, JAWA BARAT",106,114,71,185
55515,https://kawalpemilu.org#29309,"CIMARA, CIBEUREUM, KUNINGAN, JAWA BARAT",6,99,73,172
17922,https://kawalpemilu.org#26981,"HEGARMANAH, SAGARANTEN, SUKABUMI, JAWA BARAT",11,47,173,220
103129,https://kawalpemilu.org#32221,"DUNGUS CARIANG, ANDIR, KOTA BANDUNG, JAWA BARAT",30,71,46,117
29992,https://kawalpemilu.org#27553,"RANCAEKEK WETAN, RANCAEKEK, BANDUNG, JAWA BARAT",25,39,121,160
5163,https://kawalpemilu.org#26308,"KAREHKEL, LEUWILIANG, BOGOR, JAWA BARAT",14,58,130,188
32340,https://kawalpemilu.org#27615,"BIRU, MAJALAYA, BANDUNG, JAWA BARAT",25,61,91,152
97080,https://kawalpemilu.org#32054,"SUKARESMI, RONGGA, BANDUNG BARAT, JAWA BARAT",15,30,131,161
82709,https://kawalpemilu.org#31401,"AMANSARI, RENGASDENGKLOK, KARAWANG, JAWA BARAT",3,133,107,240
63718,https://kawalpemilu.org#29982,"RAJAWANGI, LEUWIMUNDING, MAJALENGKA, JAWA BARAT",6,133,55,188
85115,https://kawalpemilu.org#31591,"JAYAMAKMUR, JAYAKERTA, KARAWANG, JAWA BARAT",15,69,146,215
35432,https://kawalpemilu.org#27725,"SUKANEGLA, GARUT KOTA, GARUT, JAWA BARAT",3,51,175,226
10005,https://kawalpemilu.org#26528,"KLAPANUNGGAL, KLAPANUNGGAL, BOGOR, JAWA BARAT",10,74,177,251
29056,https://kawalpemilu.org#27516,"CAMPAKAMULYA, CIMAUNG, BANDUNG, JAWA BARAT",19,119,106,225
118139,https://kawalpemilu.org#32511,"KEMIRI MUKA, BEJI, KOTA DEPOK, JAWA BARAT",53,77,93,170
105129,https://kawalpemilu.org#32276,"TURANGGA, LENGKONG, KOTA BANDUNG, JAWA BARAT",36,80,122,202
114043,https://kawalpemilu.org#32447,"JATIBENING BARU, PONDOK GEDE, KOTA BEKASI, JAWA BARAT",88,136,81,217
34922,https://kawalpemilu.org#27707,"CIBODAS, KUTAWARINGIN, BANDUNG, JAWA BARAT",16,87,142,239
13869,https://kawalpemilu.org#26739,"BABAKANJAYA, PARUNG KUDA, SUKABUMI, JAWA BARAT",22,31,124,155
59590,https://kawalpemilu.org#29640,"KAPETAKAN, KAPETAKAN, CIREBON, JAWA BARAT",9,145,61,206
104982,https://kawalpemilu.org#32270,"BINONG, BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT",49,30,84,114
22333,https://kawalpemilu.org#27216,"SUKADANA, CAMPAKA, CIANJUR, JAWA BARAT",8,77,98,175
32508,https://kawalpemilu.org#27619,"MAJAKERTA, MAJALAYA, BANDUNG, JAWA BARAT",22,89,89,178
3134,https://kawalpemilu.org#26229,"CIPEUCANG, CILEUNGSI, BOGOR, JAWA BARAT",6,24,130,154
8362,https://kawalpemilu.org#26458,"TUGU SELATAN, CISARUA, BOGOR, JAWA BARAT",38,24,220,244
50748,https://kawalpemilu.org#28737,"KARANGPARI, RANCAH, CIAMIS, JAWA BARAT",4,78,92,170
120687,https://kawalpemilu.org#32570,"CILEMBANG, CIHIDEUNG, KOTA TASIKMALAYA, JAWA BARAT",14,34,91,125
103591,https://kawalpemilu.org#32232,"SUKARAJA, CICENDO, KOTA BANDUNG, JAWA BARAT",9,76,160,236
26841,https://kawalpemilu.org#27448,"NANJUNG, MARGAASIH, BANDUNG, JAWA BARAT",30,60,117,177
55321,https://kawalpemilu.org#29280,"MEKARJAYA, CIMAHI, KUNINGAN, JAWA BARAT",2,111,50,161
43351,https://kawalpemilu.org#28203,"KARANGNUNGGAL, KARANGNUNGGAL, TASIKMALAYA, JAWA BARAT",4,61,153,214
85669,https://kawalpemilu.org#31627,"PANGULAH SELATAN, KOTA BARU, KARAWANG, JAWA BARAT",27,91,111,202
5328,https://kawalpemilu.org#26313,"BOJONGJENGKOL, CIAMPEA, BOGOR, JAWA BARAT",31,85,131,216
43532,https://kawalpemilu.org#28212,"SARIMUKTI, KARANGNUNGGAL, TASIKMALAYA, JAWA BARAT",9,42,99,141
52826,https://kawalpemilu.org#29007,"SINDANGJAWA, CIBINGBIN, KUNINGAN, JAWA BARAT",9,127,38,165
23049,https://kawalpemilu.org#27271,"KERTAJAYA, TANGGEUNG, CIANJUR, JAWA BARAT",3,59,104,163
116844,https://kawalpemilu.org#32485,"PASIR GUNUNG SELATAN, CIMANGGIS, KOTA DEPOK, JAWA BARAT",24,58,89,147
102183,https://kawalpemilu.org#32202,"SADANGSERANG, COBLONG, KOTA BANDUNG, JAWA BARAT",74,88,131,219
4177,https://kawalpemilu.org#26279,"BOJONG, KEMANG, BOGOR, JAWA BARAT",33,59,112,171
119744,https://kawalpemilu.org#32553,"CIBEBER, CIMAHI SELATAN, KOTA CIMAHI, JAWA BARAT",5,72,213,285
75168,https://kawalpemilu.org#30882,"KALIANGSANA, KALIJATI, SUBANG, JAWA BARAT",5,81,105,186
81353,https://kawalpemilu.org#31309,"CIPINANG, CIBATU, PURWAKARTA, JAWA BARAT",8,118,113,231
25576,https://kawalpemilu.org#27417,"CIBEUNYING, CIMENYAN, BANDUNG, JAWA BARAT",18,37,88,125
17687,https://kawalpemilu.org#26963,"CISITU, NYALINDUNG, SUKABUMI, JAWA BARAT",14,65,55,120
63939,https://kawalpemilu.org#29996,"CICADAS, JATIWANGI, MAJALENGKA, JAWA BARAT",12,123,92,215
85814,https://kawalpemilu.org#31632,"JOMIN BARAT, KOTA BARU, KARAWANG, JAWA BARAT",24,112,118,230
65666,https://kawalpemilu.org#30171,"RANJI WETAN, KASOKANDEL, MAJALENGKA, JAWA BARAT",4,104,72,176
54432,https://kawalpemilu.org#29167,"KUTAWARINGIN, SELAJAMBE, KUNINGAN, JAWA BARAT",5,112,48,160
16636,https://kawalpemilu.org#26897,"SEUSEUPAN, CARINGIN, SUKABUMI, JAWA BARAT",6,24,122,146
27986,https://kawalpemilu.org#27477,"NEGLASARI, BANJARAN, BANDUNG, JAWA BARAT",16,105,84,189
57075,https://kawalpemilu.org#29458,"CURUG, SUSUKAN LEBAK, CIREBON, JAWA BARAT",4,180,36,216
117396,https://kawalpemilu.org#32499,"LIMO, LIMO, KOTA DEPOK, JAWA BARAT",26,88,74,162
99996,https://kawalpemilu.org#32138,"TANAH BARU, BOGOR UTARA, KOTA BOGOR, JAWA BARAT",1,66,133,199
111467,https://kawalpemilu.org#32418,"HARAPAN BARU, BEKASI UTARA, KOTA BEKASI, JAWA BARAT",22,80,88,168
50589,https://kawalpemilu.org#28729,"RANCAH, RANCAH, CIAMIS, JAWA BARAT",1,46,173,219
1169,https://kawalpemilu.org#26160,"GUNUNG PUTRI, GUNUNG PUTRI, BOGOR, JAWA BARAT",43,85,62,147
58694,https://kawalpemilu.org#29585,"LURAH, PLUMBON, CIREBON, JAWA BARAT",23,89,97,186
34345,https://kawalpemilu.org#27686,"RAWABOGO, CIWIDEY, BANDUNG, JAWA BARAT",23,60,84,144
34745,https://kawalpemilu.org#35834,"KARANGJATI, WONOSEGORO, BOYOLALI, JAWA TENGAH",11,168,34,202
67916,https://kawalpemilu.org#38677,"KLUMPIT, GEBOG, KUDUS, JAWA TENGAH",12,120,43,163
46552,https://kawalpemilu.org#36864,"NGLEGOK, NGARGOYOSO, KARANGANYAR, JAWA TENGAH",14,142,27,169
3564,https://kawalpemilu.org#87446,"GLEMPANG, MAOS, CILACAP, JAWA TENGAH",17,133,39,172
109165,https://kawalpemilu.org#41664,"WONODRI, SEMARANG SELATAN, KOTA SEMARANG, JAWA TENGAH",25,207,26,233
6458,https://kawalpemilu.org#33021,"TUNJUNG, JATILAWANG, BANYUMAS, JAWA TENGAH",32,98,43,141
32027,https://kawalpemilu.org#35593,"SELODOKO, AMPEL, BOYOLALI, JAWA TENGAH",6,187,3,190
14738,https://kawalpemilu.org#33649,"KARANGANYAR, PURWONEGORO, BANJARNEGARA, JAWA TENGAH",17,159,8,167
83427,https://kawalpemilu.org#39953,"JAMBEARUM, PATEBON, KENDAL, JAWA TENGAH",9,146,42,188
68492,https://kawalpemilu.org#38697,"PIJI, DAWE, KUDUS, JAWA TENGAH",24,141,34,175
99440,https://kawalpemilu.org#41222,"PRUWATAN, BUMIAYU, BREBES, JAWA TENGAH",46,134,5,139
6997,https://kawalpemilu.org#33057,"PAGERALANG, KEMRANJEN, BANYUMAS, JAWA TENGAH",7,145,36,181
70579,https://kawalpemilu.org#38835,"JLEGONG, KELING, JEPARA, JAWA TENGAH",1,100,64,164
109142,https://kawalpemilu.org#41664,"WONODRI, SEMARANG SELATAN, KOTA SEMARANG, JAWA TENGAH",2,166,52,218
13469,https://kawalpemilu.org#33544,"PANUSUPAN, REMBANG, PURBALINGGA, JAWA TENGAH",2,146,11,157
63825,https://kawalpemilu.org#38397,"SOKOKULON, MARGOREJO, PATI, JAWA TENGAH",1,190,16,206
4699,https://kawalpemilu.org#84941,"CIMRUTU, PATIMUAN, CILACAP, JAWA TENGAH",10,145,24,169
25875,https://kawalpemilu.org#35026,"REJOSARI, KALIKAJAR, WONOSOBO, JAWA TENGAH",8,116,16,132
31296,https://kawalpemilu.org#35520,"BANYUURIP, TEGALREJO, MAGELANG, JAWA TENGAH",8,136,36,172
80378,https://kawalpemilu.org#39644,"NGROPOH, KRANGGAN, TEMANGGUNG, JAWA TENGAH",4,158,62,220
15985,https://kawalpemilu.org#33773,"SAMBONG, PUNGGELAN, BANJARNEGARA, JAWA TENGAH",15,95,37,132
4055,https://kawalpemilu.org#87457,"MADURA, WANAREJA, CILACAP, JAWA TENGAH",25,126,70,196
36041,https://kawalpemilu.org#35965,"SAJEN, TRUCUK, KLATEN, JAWA TENGAH",1,153,37,190
37804,https://kawalpemilu.org#36143,"SEGARAN, DELANGGU, KLATEN, JAWA TENGAH",7,134,31,165
24558,https://kawalpemilu.org#34886,"BENER, BENER, PURWOREJO, JAWA TENGAH",10,137,31,168
23975,https://kawalpemilu.org#34807,"PAKISARUM, BRUNO, PURWOREJO, JAWA TENGAH",7,119,22,141
64772,https://kawalpemilu.org#38485,"GULANGPONGGE, GUNUNGWUNGKAL, PATI, JAWA TENGAH",10,117,11,128
54543,https://kawalpemilu.org#37378,"TARUB, TAWANGHARJO, GROBOGAN, JAWA TENGAH",5,194,16,210
78016,https://kawalpemilu.org#39404,"GENUK, UNGARAN BARAT, SEMARANG, JAWA TENGAH",2,187,51,238
36007,https://kawalpemilu.org#35962,"GADEN, TRUCUK, KLATEN, JAWA TENGAH",11,124,32,156
103847,https://kawalpemilu.org#41434,"BUARA, KETANGGUNGAN, BREBES, JAWA TENGAH",17,80,112,192
19351,https://kawalpemilu.org#34142,"KRAKAL, ALIAN, KEBUMEN, JAWA TENGAH",20,125,49,174
105485,https://kawalpemilu.org#41521,"KEMLAYAN, SERENGAN, KOTA SURAKARTA, JAWA TENGAH",10,197,42,239
72808,https://kawalpemilu.org#38964,"TEMUROSO, GUNTUR, DEMAK, JAWA TENGAH",22,151,69,220
100663,https://kawalpemilu.org#41292,"JAGALEMPENI, WANASARI, BREBES, JAWA TENGAH",8,110,62,172
40601,https://kawalpemilu.org#36399,"WIRUN, MOJOLABAN, SUKOHARJO, JAWA TENGAH",11,199,55,254
58257,https://kawalpemilu.org#37690,"JATIKLAMPOK, BANJAREJO, BLORA, JAWA TENGAH",3,127,20,147
3510,https://kawalpemilu.org#84909,"PANISIHAN, MAOS, CILACAP, JAWA TENGAH",2,73,121,194
61006,https://kawalpemilu.org#38081,"KARANGANYAR, KRAGAN, REMBANG, JAWA TENGAH",8,160,28,188
55918,https://kawalpemilu.org#37473,"PAPANREJO, GUBUG, GROBOGAN, JAWA TENGAH",5,146,41,187
92118,https://kawalpemilu.org#40751,"TAMBAKREJO, PEMALANG, PEMALANG, JAWA TENGAH",7,126,48,174
86432,https://kawalpemilu.org#40262,"PANDANSARI, WARUNGASEM, BATANG, JAWA TENGAH",10,221,12,233
64921,https://kawalpemilu.org#38503,"SIRAHAN, CLUWAK, PATI, JAWA TENGAH",7,184,23,207
97683,https://kawalpemilu.org#41116,"KEPUNDUHAN, KRAMAT, TEGAL, JAWA TENGAH",1,126,61,187
82816,https://kawalpemilu.org#39902,"GEMUHBLANTEN, GEMUH, KENDAL, JAWA TENGAH",6,97,66,163
83727,https://kawalpemilu.org#39988,"RANDUSARI, ROWOSARI, KENDAL, JAWA TENGAH",2,90,62,152
19824,https://kawalpemilu.org#34176,"KEDAWUNG, PEJAGOAN, KEBUMEN, JAWA TENGAH",23,158,78,236
51556,https://kawalpemilu.org#37178,"GEMANTAR, MONDOKAN, SRAGEN, JAWA TENGAH",19,127,10,137
