Link KawalPemilu,Nama Kelurahan,Nomor TPS,Suara 01,Suara 02,Suara Sah
https://kawalpemilu.org#493,"KUTE LENGAT PAGAN, BUKIT TUSAM, ACEH TENGGARA, ACEH",2,8,138,146
https://kawalpemilu.org#4579,"MEUNASAH MEUCAP, PEUSANGAN, BIREUEN, ACEH",1,5,130,135
https://kawalpemilu.org#6549,"HAGU SELATAN, BANDA SAKTI, KOTA LHOKSEUMAWE, ACEH",7,7,161,168
https://kawalpemilu.org#6340,"MNS SAGOE, BANDAR BARU, PIDIE JAYA, ACEH",2,7,216,5
https://kawalpemilu.org#3544,"TEUNGOH, SAMUDERA, ACEH UTARA, ACEH",2,3,162,165
https://kawalpemilu.org#3276,"GLUMPANG SULU TMR., DEWANTARA, ACEH UTARA, ACEH",19,10,167,177
https://kawalpemilu.org#208,"PAYA DAPUR, KLUET TIMUR, ACEH SELATAN, ACEH",1,6,236,242
https://kawalpemilu.org#6547,"UTEUN BAYI, BANDA SAKTI, KOTA LHOKSEUMAWE, ACEH",8,12,203,215
https://kawalpemilu.org#4055,"PUCOK ALUE, PIRAK TIMUR, ACEH UTARA, ACEH",1,0,0,0
https://kawalpemilu.org#6451,"COT MESJID, LUENG BATA, KOTA BANDA ACEH, ACEH",8,18,176,194
https://kawalpemilu.org#6663,"MAKMUR JAYA, SIMPANG KIRI, KOTA SUBULUSSALAM, ACEH",1,55,163,218
https://kawalpemilu.org#5901,"TENGGULUN, TENGGULUN, ACEH TAMIANG, ACEH",20,51,70,121
https://kawalpemilu.org#1391,"JEGET AYU, JAGONG JEGET, ACEH TENGAH, ACEH",1,85,135,220
https://kawalpemilu.org#2895,"RAWA, PIDIE, PIDIE, ACEH",3,6,178,184
https://kawalpemilu.org#3311,"COT SEUMIYONG, KUTA MAKMUR, ACEH UTARA, ACEH",62,30,137,167
https://kawalpemilu.org#865,"ALUE SIWAH SERDANG, NURUSSALAM, ACEH TIMUR, ACEH",1,40,125,165
https://kawalpemilu.org#470,"KUTAMBARU, LAWE BULAN, ACEH TENGGARA, ACEH",2,14,236,250
https://kawalpemilu.org#6552,"BANDA MASEN, BANDA SAKTI, KOTA LHOKSEUMAWE, ACEH",2,15,202,217
https://kawalpemilu.org#1113,"ALUE BU ALUE NIREH, PEUREULAK TIMUR, ACEH TIMUR, ACEH",2,44,95,139
https://kawalpemilu.org#4095,"KAMPUNG AIE, SIMEULUE TENGAH, SIMEULUE, ACEH",3,47,157,204
https://kawalpemilu.org#1034,"PELITA SAGOP JAYA, INDRA MAKMU, ACEH TIMUR, ACEH",4,13,197,210
https://kawalpemilu.org#4807,"MEUNASAH MAMPLAM, SIMPANG MAMPLAM, BIREUEN, ACEH",1,26,148,174
https://kawalpemilu.org#4878,"COT PUTEK, KOTA JUANG, BIREUEN, ACEH",1,18,202,220
https://kawalpemilu.org#3351,"ASAN LHOKSUKON BRT, LHOKSUKON, ACEH UTARA, ACEH",1,2,170,172
https://kawalpemilu.org#6450,"LUENG BATA, LUENG BATA, KOTA BANDA ACEH, ACEH",8,13,168,181
https://kawalpemilu.org#93353,"UKEE, GLUMPANG BARO, PIDIE, ACEH",2,16,197,213
https://kawalpemilu.org#1247,"ARUL RELEM, SILIH NARA, ACEH TENGAH, ACEH",2,81,183,264
https://kawalpemilu.org#129,"MUTIARA, SAWANG, ACEH SELATAN, ACEH",3,12,179,191
